campaign,scenario_id,scenario_family,planner_key,seed_count,success_mean,success_ci_low,success_ci_high,collisions_mean,collisions_ci_low,collisions_ci_high,snqi_mean,snqi_ci_low,snqi_ci_high
issue_1454_s10_h500_candidates_2026-05-23,francis2023_perpendicular_traffic,,hybrid_rule_v3_fast_progress,10,0.8,0.5,1.0,0.0,0.0,0.0,-0.061446028430644714,-0.17740797403944025,0.03417067439341775
issue_1454_s10_h500_candidates_2026-05-23,francis2023_robot_crowding,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,-0.7098244331141046,-0.913666742900373,-0.5493304521240489
issue_1454_s10_h500_candidates_2026-05-23,francis2023_robot_overtaking,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,0.021875291801255047,-0.04656792441942821,0.07089899977714349
issue_1454_s10_h500_candidates_2026-05-23,classic_bottleneck_high,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,-0.1917973216442302,-0.21643151735496766,-0.15219340705282908
issue_1454_s10_h500_candidates_2026-05-23,classic_bottleneck_low,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,0.10103364614751664,0.09616491363842136,0.10553767813676075
issue_1454_s10_h500_candidates_2026-05-23,classic_bottleneck_medium,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,-0.17703933127219335,-0.1954836279773301,-0.14951386740498981
issue_1454_s10_h500_candidates_2026-05-23,classic_cross_trap_high,,hybrid_rule_v3_fast_progress_static_escape,10,0.7,0.4,1.0,0.3,0.0,0.6,-0.22443366298936868,-0.2784219280132714,-0.16434603456462116
issue_1454_s10_h500_candidates_2026-05-23,classic_cross_trap_low,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,0.05724680061528029,-0.013235734200561535,0.10824436733080908
issue_1454_s10_h500_candidates_2026-05-23,classic_cross_trap_medium,,hybrid_rule_v3_fast_progress_static_escape,10,0.8,0.5475000000000007,1.0,0.2,0.0,0.45249999999999774,-0.1553005951096531,-0.23509024283870494,-0.056759355040965694
issue_1454_s10_h500_candidates_2026-05-23,classic_doorway_high,,hybrid_rule_v3_fast_progress_static_escape,10,0.6,0.3,0.9,0.1,0.0,0.3,-0.44281298198797997,-0.6508140698755328,-0.2879476758651035
