"step","topology_status","hypothesis_count","hypothesis_ids","selected_hypothesis_id","selected_score","primary_route_remaining_m","best_alternative_id","best_alternative_remaining_m","primary_minus_best_alternative_remaining_m","missing_trace_fields"
70,"insufficient_hypotheses",1,"primary_route","","",2.2828427464916263,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
71,"insufficient_hypotheses",1,"primary_route","","",2.2828427464916263,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
72,"insufficient_hypotheses",1,"primary_route","","",2.082842743511394,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
73,"insufficient_hypotheses",1,"primary_route","","",2.082842743511394,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
74,"ok",3,"primary_route;masked_cell_81_103;masked_cell_81_111","","",8.165685546627433,"masked_cell_81_103",8.497056401463718,-0.33137085483628503,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
75,"ok",3,"primary_route;masked_cell_81_103;masked_cell_81_111","","",8.165685546627433,"masked_cell_81_103",8.497056401463718,-0.33137085483628503,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
76,"ok",3,"primary_route;masked_cell_82_103;masked_cell_82_111","primary_route",8.773569646465173,8.048528257356272,"masked_cell_82_103",8.214213684774416,-0.1656854274181434,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
77,"ok",3,"primary_route;masked_cell_82_103;masked_cell_82_111","primary_route",9.125727182287712,7.848528254376039,"masked_cell_82_103",8.014213681794184,-0.1656854274181443,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
78,"ok",3,"primary_route;masked_cell_82_103;masked_cell_82_111","primary_route",9.124319732652584,7.931370968085112,"masked_cell_82_103",8.097056395503254,-0.16568542741814163,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
79,"ok",3,"primary_route;masked_cell_82_103;masked_cell_83_111","primary_route",8.877981098250713,7.931370968085112,"masked_cell_83_111",8.048528257356272,-0.11715728927116054,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
80,"ok",3,"primary_route;masked_cell_82_103;masked_cell_83_111","primary_route",8.876438896699936,7.931370968085112,"masked_cell_83_111",8.048528257356272,-0.11715728927116054,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
81,"ok",3,"primary_route;masked_cell_82_103;masked_cell_83_111","primary_route",8.874827745039445,7.931370968085112,"masked_cell_83_111",8.048528257356272,-0.11715728927116054,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
82,"ok",3,"primary_route;masked_cell_82_103;masked_cell_83_111","primary_route",8.873146617345554,7.73137096510488,"masked_cell_82_103",7.897056392523022,-0.16568542741814252,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
83,"ok",3,"primary_route;masked_cell_82_103;masked_cell_83_111","primary_route",8.871394422341094,7.814213678813951,"masked_cell_82_103",7.979899106232095,-0.1656854274181434,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
84,"ok",3,"primary_route;masked_cell_82_103;masked_cell_83_111","primary_route",8.869570056564378,7.814213678813951,"masked_cell_82_103",7.979899106232095,-0.1656854274181434,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
85,"ok",3,"primary_route;masked_cell_83_103;masked_cell_84_111","primary_route",8.876722778764655,7.814213678813951,"masked_cell_83_103",7.814213678813951,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
86,"ok",3,"primary_route;masked_cell_83_103;masked_cell_84_111","primary_route",8.874750661645606,7.814213678813951,"masked_cell_83_103",7.814213678813951,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
