planner_key,algo,scenario_family,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
sacadrl,sacadrl,leave_group,10,0.0000,1.0000,1.0000,0.0000,1.0000,15.4000,1.0000,1.0000,0.0194,,'-0.4525
sacadrl,sacadrl,merging,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0126,,'-0.1122
sacadrl,sacadrl,narrow_doorway,10,0.0000,0.3000,0.0000,0.3000,0.3000,0.0000,1.0000,1.0000,0.0000,,'-0.2235
sacadrl,sacadrl,narrow_hallway,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0200,,'-0.1323
sacadrl,sacadrl,overtaking,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0184,,'-0.3865
sacadrl,sacadrl,parallel_traffic,10,0.0000,0.0000,0.0000,0.0000,0.0000,5.9000,1.0000,1.0000,0.0514,,'-0.4623
sacadrl,sacadrl,pedestrian_obstruction,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.8255
sacadrl,sacadrl,pedestrian_overtaking,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0640,,'-0.1636
sacadrl,sacadrl,perpendicular_traffic,10,0.0000,0.1000,0.1000,0.0000,0.1000,6.3000,1.0000,1.0000,0.0166,,'-0.2362
sacadrl,sacadrl,robot_crowding,10,0.0000,0.8000,0.8000,0.0000,0.8000,23.1000,1.0000,1.0000,0.2011,,'-0.6673
sacadrl,sacadrl,robot_overtaking,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.4888
sacadrl,sacadrl,station_platform,10,0.0000,0.4000,0.4000,0.0000,0.4000,0.2000,1.0000,1.0000,0.0916,,'-0.2321
sacadrl,sacadrl,t_intersection,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0334,,'-0.1339
social_force,social_force,accompanying_peer,10,0.0000,0.9000,0.9000,0.0000,0.9000,4.8000,1.0000,0.9247,0.0926,,'-0.9852
