episode_id,scenario_id,planner_key,kinematics,algo,seed,repeat_index,success,collision,near_miss,time_to_goal,snqi
francis2023_exiting_room--112--d43ba1980604ed9d,francis2023_exiting_room,prediction_planner,differential_drive,prediction_planner,112,0,1.0,0.0,0.0,0.18666666666666668,0.17274174008699658
francis2023_exiting_room--113--72cd27ecc05a5b47,francis2023_exiting_room,prediction_planner,differential_drive,prediction_planner,113,0,1.0,0.0,0.0,0.18333333333333332,0.1730581100581989
francis2023_exiting_room--111--4da958deb857c36c,francis2023_exiting_room,sacadrl,differential_drive,sacadrl,111,0,1.0,0.0,0.0,0.27166666666666667,0.1531848659471359
francis2023_exiting_room--112--0662bccd2d3bd9fa,francis2023_exiting_room,sacadrl,differential_drive,sacadrl,112,0,1.0,0.0,0.0,0.27,0.15465343139759788
francis2023_exiting_room--113--2a5112543f9c3c3c,francis2023_exiting_room,sacadrl,differential_drive,sacadrl,113,0,1.0,0.0,0.0,0.26666666666666666,0.044338525600882875
francis2023_exiting_room--111--7dc26e2295adf681,francis2023_exiting_room,social_force,differential_drive,social_force,111,0,0.0,0.0,0.0,1.0,-0.8410101164126951
francis2023_exiting_room--112--9af73653de4246b9,francis2023_exiting_room,social_force,differential_drive,social_force,112,0,0.0,0.0,0.0,1.0,-0.8358421989947283
francis2023_exiting_room--113--17107f7f9ade35dc,francis2023_exiting_room,social_force,differential_drive,social_force,113,0,0.0,0.0,0.0,1.0,-0.8368674260524526
francis2023_exiting_room--111--402990146e31cf5f,francis2023_exiting_room,socnav_sampling,differential_drive,socnav_sampling,111,0,0.0,1.0,0.0,1.0,-0.19974641644114027
francis2023_exiting_room--112--091bdbd73295ee9f,francis2023_exiting_room,socnav_sampling,differential_drive,socnav_sampling,112,0,0.0,1.0,0.0,1.0,-0.2015339427947521
francis2023_exiting_room--113--857f16d9f66a13ef,francis2023_exiting_room,socnav_sampling,differential_drive,socnav_sampling,113,0,0.0,1.0,0.0,1.0,-0.2299663915452449
francis2023_following_human--111--4350d9f53696291e,francis2023_following_human,goal,differential_drive,goal,111,0,1.0,0.0,5.0,0.535,0.06572776382425523
francis2023_following_human--112--fa0e0b1e4fc4250a,francis2023_following_human,goal,differential_drive,goal,112,0,1.0,0.0,4.0,0.5366666666666666,0.08025027470419045
francis2023_following_human--113--ddcdac3b358286e5,francis2023_following_human,goal,differential_drive,goal,113,0,1.0,0.0,10.0,0.535,-0.007667070299898141
francis2023_following_human--111--d17b4371a2747369,francis2023_following_human,orca,differential_drive,orca,111,0,1.0,0.0,8.0,0.2866666666666667,0.044779423071136894
francis2023_following_human--112--b645099dcd9350ef,francis2023_following_human,orca,differential_drive,orca,112,0,1.0,0.0,8.0,0.28833333333333333,0.04462721212738139
francis2023_following_human--113--7f8a2d6c01f816fe,francis2023_following_human,orca,differential_drive,orca,113,0,1.0,0.0,9.0,0.28833333333333333,0.029948245302550726
francis2023_following_human--111--5facf386172208f0,francis2023_following_human,ppo,differential_drive,ppo,111,0,1.0,0.0,3.0,0.2816666666666667,0.10156549831620093
francis2023_following_human--112--f2fe95cf0679d634,francis2023_following_human,ppo,differential_drive,ppo,112,0,1.0,0.0,0.0,0.2783333333333333,0.12939050737319333
francis2023_following_human--113--a4c10334bae1f425,francis2023_following_human,ppo,differential_drive,ppo,113,0,1.0,0.0,0.0,0.2816666666666667,0.13589348781387656
francis2023_following_human--111--e9c01e7b49000dcf,francis2023_following_human,prediction_planner,differential_drive,prediction_planner,111,0,1.0,0.0,14.0,0.39,-0.05282760033222189
francis2023_following_human--112--224e0e9c23e5f6d5,francis2023_following_human,prediction_planner,differential_drive,prediction_planner,112,0,1.0,0.0,9.0,0.385,0.021031893447507645
francis2023_following_human--113--edfde774d128526f,francis2023_following_human,prediction_planner,differential_drive,prediction_planner,113,0,1.0,0.0,3.0,0.385,0.10910569439649168
francis2023_following_human--111--9ef56b7f25be75d0,francis2023_following_human,sacadrl,differential_drive,sacadrl,111,0,0.0,1.0,0.0,1.0,-0.5015879788103703
francis2023_following_human--112--b6114706c0e7522c,francis2023_following_human,sacadrl,differential_drive,sacadrl,112,0,0.0,1.0,0.0,1.0,-0.4909501218065603
