planner_key,algo,scenario_family,scenario_id,use_case,context,speed_regime,maneuver_type,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
orca,orca,overtaking,classic_overtaking_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.3994,0.9447,0.0146,,'-0.0619
orca,orca,overtaking,classic_overtaking_medium,,,,,3,0.0000,1.0000,0.6667,0.3333,1.0000,7.3333,1.0000,0.8557,0.0089,,'-0.8013
orca,orca,bottleneck,classic_realworld_double_bottleneck_high,,,,,3,0.0000,1.0000,0.3333,0.6667,1.0000,49.6667,1.0000,0.9862,0.0023,,'-0.7421
orca,orca,station_platform,classic_station_platform_medium,,,,,3,0.3333,0.6667,0.3333,0.3333,0.6667,39.0000,0.9400,0.9000,0.0121,,'-0.5901
orca,orca,t_intersection,classic_t_intersection_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.2700,0.9522,0.0318,,'-0.0043
orca,orca,t_intersection,classic_t_intersection_medium,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,12.6667,0.2639,0.9535,0.0358,,'-0.0357
orca,orca,crossing,classic_urban_crossing_medium,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2889,1.0000,0.0065,,0.1535
orca,orca,accompanying_peer,francis2023_accompanying_peer,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2850,1.0000,0.0058,,0.1575
orca,orca,blind_corner,francis2023_blind_corner,,,,,3,0.3333,0.6667,0.0000,0.6667,0.6667,5.3333,0.8217,0.9766,0.0000,,'-0.3122
orca,orca,circular_crossing,francis2023_circular_crossing,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,0.3333,0.4217,1.0000,0.2437,,'-0.0118
orca,orca,crowd_navigation,francis2023_crowd_navigation,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,18.6667,0.4822,0.9940,0.0680,,'-0.2948
orca,orca,down_path,francis2023_down_path,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2889,1.0000,0.0000,,0.1604
orca,orca,entering_elevator,francis2023_entering_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1950,1.0000,0.0000,,'-0.0313
orca,orca,entering_room,francis2023_entering_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1544,1.0000,0.0000,,0.1666
orca,orca,exiting_elevator,francis2023_exiting_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,10.3333,0.1944,1.0000,0.0000,,'-0.1944
orca,orca,exiting_room,francis2023_exiting_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1494,1.0000,0.0000,,0.1642
orca,orca,following_human,francis2023_following_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,8.3333,0.2878,1.0000,0.0058,,0.0398
orca,orca,frontal_approach,francis2023_frontal_approach,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.2928,1.0000,0.0000,,0.0236
orca,orca,intersection_no_gesture,francis2023_intersection_no_gesture,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
orca,orca,intersection_proceed,francis2023_intersection_proceed,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
orca,orca,intersection_wait,francis2023_intersection_wait,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
orca,orca,join_group,francis2023_join_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,3.6667,1.0000,1.0000,0.0133,,'-0.3413
orca,orca,leading_human,francis2023_leading_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2844,1.0000,0.0058,,0.1593
orca,orca,leave_group,francis2023_leave_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,13.6667,1.0000,1.0000,0.0267,,'-0.5418
orca,orca,narrow_doorway,francis2023_narrow_doorway,,,,,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-1.0949
orca,orca,narrow_hallway,francis2023_narrow_hallway,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,38.3333,0.2661,1.0000,0.0125,,'-0.1930
orca,orca,parallel_traffic,francis2023_parallel_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,35.3333,0.3883,1.0000,0.0409,,'-0.3348
orca,orca,pedestrian_obstruction,francis2023_pedestrian_obstruction,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,10.3333,0.2894,1.0000,0.0000,,0.0113
orca,orca,pedestrian_overtaking,francis2023_pedestrian_overtaking,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2878,1.0000,0.0326,,0.1507
orca,orca,perpendicular_traffic,francis2023_perpendicular_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.2189,1.0000,0.0058,,0.0780
orca,orca,robot_crowding,francis2023_robot_crowding,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,13.3333,0.4672,0.9255,0.1247,,'-0.4246
orca,orca,robot_overtaking,francis2023_robot_overtaking,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.6667,0.2983,1.0000,0.0000,,0.0226
ppo,ppo,bottleneck,classic_bottleneck_high,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,10.0000,1.0000,1.0000,0.0000,,'-0.5869
ppo,ppo,bottleneck,classic_bottleneck_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2006,1.0000,0.0000,,0.0509
ppo,ppo,bottleneck,classic_bottleneck_medium,,,,,3,0.0000,1.0000,0.3333,0.6667,1.0000,6.0000,1.0000,1.0000,0.0000,,'-0.4595
ppo,ppo,cross_trap,classic_cross_trap_high,,,,,3,0.3333,0.6667,0.6667,0.0000,0.6667,4.6667,0.8156,0.7823,0.3896,,'-0.2772
ppo,ppo,cross_trap,classic_cross_trap_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,12.3333,0.4344,0.7892,0.0073,,'-0.1347
ppo,ppo,cross_trap,classic_cross_trap_medium,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,12.6667,0.6228,0.7446,0.1703,,'-0.2539
ppo,ppo,doorway,classic_doorway_high,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,11.3333,1.0000,1.0000,0.0123,,'-0.8443
ppo,ppo,doorway,classic_doorway_low,,,,,3,0.3333,0.6667,0.6667,0.0000,0.6667,15.3333,0.7067,1.0000,0.0328,,'-0.8553
ppo,ppo,doorway,classic_doorway_medium,,,,,3,0.3333,0.6667,0.3333,0.3333,0.6667,9.3333,0.7156,1.0000,0.0074,,'-0.6110
ppo,ppo,group_crossing,classic_group_crossing_high,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,13.6667,0.4561,1.0000,0.0374,,'-0.3874
ppo,ppo,group_crossing,classic_group_crossing_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1806,1.0000,0.0245,,0.0356
ppo,ppo,group_crossing,classic_group_crossing_medium,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,2.3333,0.1950,0.9972,0.0062,,'-0.0432
ppo,ppo,head_on_corridor,classic_head_on_corridor_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.2767,1.0000,0.0189,,0.0321
ppo,ppo,head_on_corridor,classic_head_on_corridor_medium,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,2.3333,0.2767,1.0000,0.0102,,0.0265
ppo,ppo,merging,classic_merging_low,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,2.3333,1.0000,0.5196,0.0075,,'-0.3763
ppo,ppo,merging,classic_merging_medium,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,2.0000,1.0000,0.7396,0.0157,,'-0.3753
ppo,ppo,overtaking,classic_overtaking_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3394,0.9421,0.0144,,'-0.0462
ppo,ppo,overtaking,classic_overtaking_medium,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.3633,0.6799,0.0077,,'-0.1594
ppo,ppo,bottleneck,classic_realworld_double_bottleneck_high,,,,,3,0.0000,1.0000,0.3333,0.6667,1.0000,10.0000,1.0000,1.0000,0.0013,,'-0.6609
ppo,ppo,station_platform,classic_station_platform_medium,,,,,3,0.0000,0.3333,0.3333,0.0000,0.3333,15.6667,1.0000,0.4606,0.0108,,'-0.5776
ppo,ppo,t_intersection,classic_t_intersection_low,,,,,3,0.3333,0.6667,0.0000,0.6667,0.6667,0.0000,0.7478,0.9932,0.0320,,'-0.2092
ppo,ppo,t_intersection,classic_t_intersection_medium,,,,,3,0.6667,0.3333,0.0000,0.3333,0.3333,0.0000,0.5033,0.9908,0.0248,,'-0.0864
ppo,ppo,crossing,classic_urban_crossing_medium,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2983,1.0000,0.0063,,0.1151
ppo,ppo,accompanying_peer,francis2023_accompanying_peer,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2806,1.0000,0.0059,,0.1389
ppo,ppo,blind_corner,francis2023_blind_corner,,,,,3,0.3333,0.6667,0.0000,0.6667,0.6667,3.0000,0.7894,0.9963,0.0000,,'-0.2338
ppo,ppo,circular_crossing,francis2023_circular_crossing,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,0.3333,0.4144,1.0000,0.2455,,'-0.0865
ppo,ppo,crowd_navigation,francis2023_crowd_navigation,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.2172,0.9854,0.0501,,'-0.2369
ppo,ppo,down_path,francis2023_down_path,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2811,1.0000,0.0000,,0.1466
ppo,ppo,entering_elevator,francis2023_entering_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1039,1.0000,0.0000,,0.1059
ppo,ppo,entering_room,francis2023_entering_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1544,1.0000,0.0000,,0.0953
ppo,ppo,exiting_elevator,francis2023_exiting_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1356,0.8951,0.0000,,'-0.1416
ppo,ppo,exiting_room,francis2023_exiting_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1478,1.0000,0.0000,,0.0395
ppo,ppo,following_human,francis2023_following_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2806,1.0000,0.0059,,0.1223
ppo,ppo,frontal_approach,francis2023_frontal_approach,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.2889,1.0000,0.0000,,0.0635
ppo,ppo,intersection_no_gesture,francis2023_intersection_no_gesture,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2044,1.0000,0.0000,,0.0701
