planner_key,algo,scenario_family,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
prediction_planner,prediction_planner,doorway,9,0.2222,0.2222,0.0000,0.0000,0.0000,24.4444,0.9756,1.0000,0.0193,,'-0.4146
prediction_planner,prediction_planner,down_path,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,entering_elevator,3,0.6667,0.3333,0.0000,0.0000,0.0000,0.0000,0.7000,1.0000,0.0000,,0.0605
prediction_planner,prediction_planner,entering_room,3,0.6667,0.3333,0.0000,0.0000,0.0000,0.0000,0.9400,1.0000,0.0000,,0.0378
prediction_planner,prediction_planner,exiting_elevator,3,0.3333,0.3333,0.0000,0.0000,0.0000,27.0000,0.9733,1.0000,0.0000,,'-0.2445
prediction_planner,prediction_planner,exiting_room,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0952
prediction_planner,prediction_planner,following_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,2.3333,1.0000,1.0000,0.0100,,'-0.1313
prediction_planner,prediction_planner,frontal_approach,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,group_crossing,9,0.1111,0.1111,0.0000,0.0000,0.0000,10.3333,0.9989,1.0000,0.0149,,'-0.2032
prediction_planner,prediction_planner,head_on_corridor,6,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,1.0000,1.0000,0.0221,,'-0.1617
prediction_planner,prediction_planner,intersection_no_gesture,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,intersection_proceed,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,intersection_wait,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,join_group,3,0.0000,0.3333,0.0000,0.0000,0.0000,25.6667,1.0000,1.0000,0.0655,,'-0.3726
prediction_planner,prediction_planner,leading_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.0970
prediction_planner,prediction_planner,leave_group,3,0.0000,0.3333,0.0000,0.0000,0.0000,48.3333,1.0000,1.0000,0.1190,,'-0.4519
prediction_planner,prediction_planner,merging,6,0.0000,0.8333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0526,,'-0.1384
prediction_planner,prediction_planner,narrow_doorway,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,narrow_hallway,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.6667,1.0000,1.0000,0.0200,,'-0.1545
prediction_planner,prediction_planner,overtaking,6,0.0000,0.0000,0.0000,0.0000,0.0000,2.3333,1.0000,1.0000,0.0375,,'-0.2636
prediction_planner,prediction_planner,parallel_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,6.3333,1.0000,1.0000,0.0671,,'-0.2654
prediction_planner,prediction_planner,pedestrian_obstruction,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,pedestrian_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0667,,'-0.1149
prediction_planner,prediction_planner,perpendicular_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,21.6667,1.0000,1.0000,0.0081,,'-0.3007
prediction_planner,prediction_planner,robot_crowding,3,0.0000,0.6667,0.0000,0.0000,0.0000,25.6667,1.0000,1.0000,0.2026,,'-0.4728
prediction_planner,prediction_planner,robot_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,34.6667,1.0000,1.0000,0.0867,,'-0.4645
prediction_planner,prediction_planner,station_platform,3,0.0000,0.3333,0.0000,0.0000,0.0000,38.0000,1.0000,1.0000,0.0151,,'-0.4428
prediction_planner,prediction_planner,t_intersection,6,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0441,,'-0.1571
sacadrl,sacadrl,accompanying_peer,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0218,,'-0.4631
sacadrl,sacadrl,blind_corner,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1329
sacadrl,sacadrl,bottleneck,12,0.0000,0.4167,0.0000,0.0000,0.0000,1.5833,1.0000,1.0000,0.0000,,'-0.1575
sacadrl,sacadrl,circular_crossing,3,0.0000,0.3333,0.0000,0.0000,0.0000,1.3333,1.0000,1.0000,0.1856,,'-0.1861
sacadrl,sacadrl,cross_trap,9,0.0000,0.2222,0.0000,0.0000,0.0000,14.3333,1.0000,1.0000,0.0924,,'-0.2688
sacadrl,sacadrl,crossing,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0223,,'-0.8109
