# AI-GENERATED NEEDS-REVIEW
run_label,job_id,scenario_matrix_hash,planner_key,algo,scenario_family,scenario_id,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
confirm,13268,c10df617a87c,orca,orca,bottleneck,classic_realworld_double_bottleneck_high,3,0.0000,1.0000,0.3333,0.6667,1.0000,49.6667,1.0000,0.9862,0.0023,,'-0.7421
confirm,13268,c10df617a87c,orca,orca,circular_crossing,francis2023_circular_crossing,3,0.6667,0.3333,0.3333,0.0000,0.3333,0.3333,0.4217,1.0000,0.2437,,'-0.0118
confirm,13268,c10df617a87c,orca,orca,cross_trap,classic_cross_trap_high,3,0.0000,1.0000,0.6667,0.3333,1.0000,4.6667,1.0000,0.9901,0.3897,,'-0.4700
confirm,13268,c10df617a87c,orca,orca,cross_trap,classic_cross_trap_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.3978,0.9548,0.0079,,0.0127
confirm,13268,c10df617a87c,orca,orca,cross_trap,classic_cross_trap_medium,3,0.3333,0.6667,0.3333,0.3333,0.6667,9.0000,0.8039,0.9728,0.1707,,'-0.3908
confirm,13268,c10df617a87c,orca,orca,crossing,classic_urban_crossing_medium,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2889,1.0000,0.0065,,0.1535
confirm,13268,c10df617a87c,orca,orca,crowd_navigation,francis2023_crowd_navigation,3,0.6667,0.3333,0.3333,0.0000,0.3333,18.6667,0.4822,0.9940,0.0680,,'-0.2948
confirm,13268,c10df617a87c,orca,orca,doorway,classic_doorway_high,3,1.0000,0.0000,0.0000,0.0000,0.0000,14.6667,0.3867,0.9938,0.0035,,'-0.5857
confirm,13268,c10df617a87c,orca,orca,doorway,classic_doorway_low,3,0.6667,0.3333,0.3333,0.0000,0.3333,14.0000,0.5972,0.9872,0.0514,,'-0.6581
confirm,13268,c10df617a87c,orca,orca,doorway,classic_doorway_medium,3,1.0000,0.0000,0.0000,0.0000,0.0000,9.6667,0.3189,1.0000,0.0034,,'-0.4365
confirm,13268,c10df617a87c,orca,orca,down_path,francis2023_down_path,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2889,1.0000,0.0000,,0.1604
confirm,13268,c10df617a87c,orca,orca,entering_elevator,francis2023_entering_elevator,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1950,1.0000,0.0000,,'-0.0313
confirm,13268,c10df617a87c,orca,orca,entering_room,francis2023_entering_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1544,1.0000,0.0000,,0.1666
confirm,13268,c10df617a87c,orca,orca,exiting_elevator,francis2023_exiting_elevator,3,1.0000,0.0000,0.0000,0.0000,0.0000,10.3333,0.1944,1.0000,0.0000,,'-0.1944
confirm,13268,c10df617a87c,orca,orca,exiting_room,francis2023_exiting_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1494,1.0000,0.0000,,0.1642
confirm,13268,c10df617a87c,orca,orca,following_human,francis2023_following_human,3,1.0000,0.0000,0.0000,0.0000,0.0000,8.3333,0.2878,1.0000,0.0058,,0.0398
confirm,13268,c10df617a87c,orca,orca,frontal_approach,francis2023_frontal_approach,3,1.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.2928,1.0000,0.0000,,0.0236
confirm,13268,c10df617a87c,orca,orca,group_crossing,classic_group_crossing_high,3,0.6667,0.3333,0.3333,0.0000,0.3333,11.6667,0.4656,1.0000,0.0352,,'-0.2777
confirm,13268,c10df617a87c,orca,orca,group_crossing,classic_group_crossing_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1794,1.0000,0.0242,,0.1180
confirm,13268,c10df617a87c,orca,orca,group_crossing,classic_group_crossing_medium,3,0.6667,0.3333,0.0000,0.3333,0.3333,4.3333,0.4533,1.0000,0.0161,,'-0.0777
confirm,13268,c10df617a87c,orca,orca,head_on_corridor,classic_head_on_corridor_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,2.3333,0.2678,1.0000,0.0194,,0.1193
confirm,13268,c10df617a87c,orca,orca,head_on_corridor,classic_head_on_corridor_medium,3,1.0000,0.0000,0.0000,0.0000,0.0000,8.3333,0.2711,1.0000,0.0103,,0.0281
confirm,13268,c10df617a87c,orca,orca,intersection_no_gesture,francis2023_intersection_no_gesture,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
confirm,13268,c10df617a87c,orca,orca,intersection_proceed,francis2023_intersection_proceed,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
confirm,13268,c10df617a87c,orca,orca,intersection_wait,francis2023_intersection_wait,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
confirm,13268,c10df617a87c,orca,orca,join_group,francis2023_join_group,3,0.0000,1.0000,1.0000,0.0000,1.0000,3.6667,1.0000,1.0000,0.0133,,'-0.3413
confirm,13268,c10df617a87c,orca,orca,leading_human,francis2023_leading_human,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2844,1.0000,0.0058,,0.1593
confirm,13268,c10df617a87c,orca,orca,leave_group,francis2023_leave_group,3,0.0000,1.0000,1.0000,0.0000,1.0000,13.6667,1.0000,1.0000,0.0267,,'-0.5418
confirm,13268,c10df617a87c,orca,orca,merging,classic_merging_low,3,0.3333,0.6667,0.3333,0.3333,0.6667,57.6667,0.9267,0.7922,0.0187,,'-0.5564
confirm,13268,c10df617a87c,orca,orca,merging,classic_merging_medium,3,0.3333,0.6667,0.6667,0.0000,0.6667,122.3333,0.9811,0.7352,0.0176,,'-0.7050
confirm,13268,c10df617a87c,orca,orca,narrow_doorway,francis2023_narrow_doorway,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-1.0949
confirm,13268,c10df617a87c,orca,orca,narrow_hallway,francis2023_narrow_hallway,3,1.0000,0.0000,0.0000,0.0000,0.0000,38.3333,0.2661,1.0000,0.0125,,'-0.1930
confirm,13268,c10df617a87c,orca,orca,overtaking,classic_overtaking_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.3994,0.9447,0.0146,,'-0.0619
confirm,13268,c10df617a87c,orca,orca,overtaking,classic_overtaking_medium,3,0.0000,1.0000,0.6667,0.3333,1.0000,7.3333,1.0000,0.8557,0.0089,,'-0.8013
confirm,13268,c10df617a87c,orca,orca,parallel_traffic,francis2023_parallel_traffic,3,1.0000,0.0000,0.0000,0.0000,0.0000,35.3333,0.3883,1.0000,0.0409,,'-0.3348
confirm,13268,c10df617a87c,orca,orca,pedestrian_obstruction,francis2023_pedestrian_obstruction,3,1.0000,0.0000,0.0000,0.0000,0.0000,10.3333,0.2894,1.0000,0.0000,,0.0113
confirm,13268,c10df617a87c,orca,orca,pedestrian_overtaking,francis2023_pedestrian_overtaking,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2878,1.0000,0.0326,,0.1507
confirm,13268,c10df617a87c,orca,orca,perpendicular_traffic,francis2023_perpendicular_traffic,3,1.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.2189,1.0000,0.0058,,0.0780
confirm,13268,c10df617a87c,orca,orca,robot_crowding,francis2023_robot_crowding,3,0.6667,0.3333,0.3333,0.0000,0.3333,13.3333,0.4672,0.9255,0.1247,,'-0.4246
confirm,13268,c10df617a87c,orca,orca,robot_overtaking,francis2023_robot_overtaking,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.6667,0.2983,1.0000,0.0000,,0.0226
confirm,13268,c10df617a87c,orca,orca,station_platform,classic_station_platform_medium,3,0.3333,0.6667,0.3333,0.3333,0.6667,39.0000,0.9400,0.9000,0.0121,,'-0.5901
