planner_key,algo,scenario_family,use_case,context,speed_regime,maneuver_type,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
prediction_mpc,prediction_mpc,narrow_hallway,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,115.0000,1.0000,1.0000,0.0076,,'-0.8318
prediction_mpc,prediction_mpc,overtaking,,,,,6,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7336,0.9958,0.0054,,'-0.0588
prediction_mpc,prediction_mpc,parallel_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,27.0000,0.6194,1.0000,0.0290,,'-0.0496
prediction_mpc,prediction_mpc,pedestrian_obstruction,,,,,3,0.0000,0.0000,0.0000,0.0000,0.0000,65.6667,1.0000,1.0000,0.0092,,'-0.4173
prediction_mpc,prediction_mpc,pedestrian_overtaking,,,,,3,0.3333,0.0000,0.0000,0.0000,0.0000,46.3333,0.8856,1.0000,0.0184,,'-0.4386
prediction_mpc,prediction_mpc,perpendicular_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,22.6667,0.4461,1.0000,0.0049,,0.0086
prediction_mpc,prediction_mpc,robot_crowding,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,166.0000,0.4394,1.0000,0.0514,,'-1.0192
prediction_mpc,prediction_mpc,robot_overtaking,,,,,3,0.0000,0.0000,0.0000,0.0000,0.0000,64.6667,1.0000,1.0000,0.0392,,'-0.5907
prediction_mpc,prediction_mpc,station_platform,,,,,3,0.0000,0.3333,0.3333,0.0000,0.3333,70.3333,1.0000,0.9623,0.0152,,'-0.7669
prediction_mpc,prediction_mpc,t_intersection,,,,,6,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0234,,'-0.4047
prediction_mpc_cbf,prediction_mpc,accompanying_peer,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5950,1.0000,0.0028,,0.1335
prediction_mpc_cbf,prediction_mpc,blind_corner,,,,,3,0.0000,0.0000,0.0000,0.0000,0.0000,19.6667,1.0000,1.0000,0.0000,,'-0.5912
prediction_mpc_cbf,prediction_mpc,bottleneck,,,,,12,0.7500,0.0000,0.0000,0.0000,0.0000,152.7500,0.7918,1.0000,0.0000,,'-0.4084
prediction_mpc_cbf,prediction_mpc,circular_crossing,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,0.3333,0.4972,1.0000,0.2346,,'-0.0496
