scenario_id,seed,classification,mean_success,mean_collision,planner_count
classic_station_platform_medium,115,hard,0.0000,1.0000,4
classic_station_platform_medium,116,hard,0.0000,0.0000,4
classic_station_platform_medium,117,hard,0.0000,1.0000,4
classic_station_platform_medium,118,hard,0.0000,1.0000,4
classic_station_platform_medium,119,hard,0.0000,0.0000,4
classic_station_platform_medium,113,hard,0.2500,0.0000,4
classic_station_platform_medium,120,hard,0.2500,0.0000,4
classic_t_intersection_low,118,easy,0.7500,0.0000,4
classic_t_intersection_low,111,easy,1.0000,0.0000,4
classic_t_intersection_low,112,easy,1.0000,0.0000,4
classic_t_intersection_low,113,easy,1.0000,0.0000,4
classic_t_intersection_low,114,easy,1.0000,0.0000,4
classic_t_intersection_low,115,easy,1.0000,0.0000,4
classic_t_intersection_low,116,easy,1.0000,0.0000,4
classic_t_intersection_low,117,easy,1.0000,0.0000,4
classic_t_intersection_low,119,easy,1.0000,0.0000,4
classic_t_intersection_low,120,easy,1.0000,0.0000,4
classic_t_intersection_medium,118,easy,0.7500,0.0000,4
classic_t_intersection_medium,111,easy,1.0000,0.0000,4
classic_t_intersection_medium,112,easy,1.0000,0.0000,4
classic_t_intersection_medium,113,easy,1.0000,0.0000,4
classic_t_intersection_medium,114,easy,1.0000,0.0000,4
classic_t_intersection_medium,115,easy,1.0000,0.0000,4
classic_t_intersection_medium,116,easy,1.0000,0.0000,4
classic_t_intersection_medium,117,easy,1.0000,0.0000,4
classic_t_intersection_medium,119,easy,1.0000,0.0000,4
classic_t_intersection_medium,120,easy,1.0000,0.0000,4
classic_urban_crossing_medium,116,hard,0.0000,0.0000,4
classic_urban_crossing_medium,112,hard,0.2500,0.0000,4
classic_urban_crossing_medium,111,easy,1.0000,0.0000,4
classic_urban_crossing_medium,113,easy,1.0000,0.0000,4
classic_urban_crossing_medium,114,easy,1.0000,0.0000,4
classic_urban_crossing_medium,115,easy,1.0000,0.0000,4
classic_urban_crossing_medium,117,easy,1.0000,0.0000,4
classic_urban_crossing_medium,118,easy,1.0000,0.0000,4
classic_urban_crossing_medium,119,easy,1.0000,0.0000,4
classic_urban_crossing_medium,120,easy,1.0000,0.0000,4
francis2023_accompanying_peer,111,easy,1.0000,0.0000,4
francis2023_accompanying_peer,112,easy,1.0000,0.0000,4
francis2023_accompanying_peer,113,easy,1.0000,0.0000,4
francis2023_accompanying_peer,114,easy,1.0000,0.0000,4
francis2023_accompanying_peer,115,easy,1.0000,0.0000,4
francis2023_accompanying_peer,116,easy,1.0000,0.0000,4
francis2023_accompanying_peer,117,easy,1.0000,0.0000,4
francis2023_accompanying_peer,118,easy,1.0000,0.0000,4
francis2023_accompanying_peer,119,easy,1.0000,0.0000,4
francis2023_accompanying_peer,120,easy,1.0000,0.0000,4
francis2023_blind_corner,116,hard,0.0000,0.0000,4
francis2023_blind_corner,111,easy,1.0000,0.0000,4
francis2023_blind_corner,112,easy,1.0000,0.0000,4
francis2023_blind_corner,113,easy,1.0000,0.0000,4
francis2023_blind_corner,114,easy,1.0000,0.0000,4
francis2023_blind_corner,115,easy,1.0000,0.0000,4
francis2023_blind_corner,117,easy,1.0000,0.0000,4
francis2023_blind_corner,118,easy,1.0000,0.0000,4
francis2023_blind_corner,119,easy,1.0000,0.0000,4
francis2023_blind_corner,120,easy,1.0000,0.0000,4
francis2023_circular_crossing,111,hard,0.0000,1.0000,4
francis2023_circular_crossing,112,easy,1.0000,0.0000,4
francis2023_circular_crossing,113,easy,1.0000,0.0000,4
francis2023_circular_crossing,114,easy,1.0000,0.0000,4
francis2023_circular_crossing,115,easy,1.0000,0.0000,4
francis2023_circular_crossing,116,easy,1.0000,0.0000,4
francis2023_circular_crossing,117,easy,1.0000,0.0000,4
francis2023_circular_crossing,118,easy,1.0000,0.0000,4
francis2023_circular_crossing,119,easy,1.0000,0.0000,4
francis2023_circular_crossing,120,easy,1.0000,0.0000,4
francis2023_crowd_navigation,111,easy,1.0000,0.0000,4
francis2023_crowd_navigation,112,easy,1.0000,0.0000,4
francis2023_crowd_navigation,113,easy,1.0000,0.0000,4
francis2023_crowd_navigation,114,easy,1.0000,0.0000,4
francis2023_crowd_navigation,115,easy,1.0000,0.0000,4
francis2023_crowd_navigation,116,easy,1.0000,0.0000,4
francis2023_crowd_navigation,117,easy,1.0000,0.0000,4
francis2023_crowd_navigation,118,easy,1.0000,0.0000,4
francis2023_crowd_navigation,119,easy,1.0000,0.0000,4
francis2023_crowd_navigation,120,easy,1.0000,0.0000,4
francis2023_down_path,111,easy,1.0000,0.0000,4
francis2023_down_path,112,easy,1.0000,0.0000,4
francis2023_down_path,113,easy,1.0000,0.0000,4
francis2023_down_path,114,easy,1.0000,0.0000,4
francis2023_down_path,115,easy,1.0000,0.0000,4
francis2023_down_path,116,easy,1.0000,0.0000,4
francis2023_down_path,117,easy,1.0000,0.0000,4
francis2023_down_path,118,easy,1.0000,0.0000,4
francis2023_down_path,119,easy,1.0000,0.0000,4
francis2023_down_path,120,easy,1.0000,0.0000,4
francis2023_entering_elevator,111,easy,1.0000,0.0000,4
francis2023_entering_elevator,112,easy,1.0000,0.0000,4
francis2023_entering_elevator,113,easy,1.0000,0.0000,4
francis2023_entering_elevator,114,easy,1.0000,0.0000,4
francis2023_entering_elevator,115,easy,1.0000,0.0000,4
francis2023_entering_elevator,116,easy,1.0000,0.0000,4
francis2023_entering_elevator,117,easy,1.0000,0.0000,4
francis2023_entering_elevator,118,easy,1.0000,0.0000,4
francis2023_entering_elevator,119,easy,1.0000,0.0000,4
francis2023_entering_elevator,120,easy,1.0000,0.0000,4
francis2023_entering_room,111,easy,1.0000,0.0000,4
